Total, Raycast, Update_cache, Inflation, PointCloudNumber, CacheNumber, InflationNumber
0.00817253, 0.000887837, 0.00728303, 0.000367882, 2763, 5064, 11685
0.00244354, 0.000433489, 0.00200893, 0.000122798, 2696, 5080, 8733
0.00181778, 0.000351635, 0.00146501, 0.000107273, 2703, 5007, 7626
0.00158829, 0.000340462, 0.00124632, 0.000102742, 2663, 5015, 7257
0.00105869, 0.000344666, 0.000713597, 8.3472e-05, 2651, 4987, 6273
0.00137001, 0.00065465, 0.000714875, 6.5962e-05, 2687, 4901, 3690
0.0013582, 0.000351433, 0.0010053, 6.794e-05, 2720, 4988, 4797
0.00125133, 0.000678794, 0.000571351, 6.2147e-05, 2685, 4954, 3813
0.00116774, 0.000597231, 0.000569384, 6.1915e-05, 2771, 4998, 3567
0.00118273, 0.000734297, 0.000445861, 4.5492e-05, 2747, 4903, 2460
0.0011873, 0.000723737, 0.00046203, 6.3287e-05, 2763, 5089, 3321
0.00117772, 0.000716741, 0.000459416, 4.5452e-05, 2755, 4991, 2460
0.00130067, 0.000748409, 0.00055059, 4.5583e-05, 2800, 5028, 2214
0.00121829, 0.000795948, 0.00042119, 3.167e-05, 2789, 5123, 1476
0.000957328, 0.000654573, 0.000301037, 3.7123e-05, 2765, 4901, 2091
0.00153509, 0.00111731, 0.000416173, 3.7117e-05, 2792, 5103, 2091
0.000946564, 0.000586666, 0.0003584, 3.0365e-05, 2726, 5027, 1599
0.000994831, 0.000339079, 0.000653875, 3.8034e-05, 2642, 4829, 2091
0.00158331, 0.00087006, 0.000711558, 0.000106551, 2679, 4732, 3198
0.00090904, 0.000543002, 0.00036511, 3.6157e-05, 2576, 4741, 2460
0.000964187, 0.000600845, 0.000362095, 4.9296e-05, 2606, 4675, 2091
0.00102846, 0.000641194, 0.000385738, 4.087e-05, 2665, 5033, 1845
0.00095579, 0.000574784, 0.000379698, 3.3302e-05, 2609, 4931, 1722
0.00118825, 0.000666666, 0.000520206, 3.8262e-05, 2592, 4981, 984
0.000971392, 0.000353686, 0.000616786, 2.9257e-05, 2582, 5055, 1476
0.00111254, 0.000419072, 0.00069247, 4.421e-05, 2462, 4661, 1230
0.000941906, 0.000590427, 0.000350161, 2.0914e-05, 2493, 4843, 984
0.000931947, 0.000624347, 0.00030664, 1.2586e-05, 2529, 4823, 492
0.00110855, 0.000659957, 0.00044753, 2.7079e-05, 2523, 4967, 861
0.0010421, 0.000670794, 0.000370418, 1.7668e-05, 2590, 4990, 984
0.000994176, 0.000571478, 0.000421359, 1.3933e-05, 2662, 5202, 738
0.00117163, 0.000710229, 0.000460095, 1.1567e-05, 2774, 5506, 492
0.00102968, 0.000651666, 0.00037694, 1.2266e-05, 2755, 5316, 492
0.00104351, 0.00069226, 0.00035044, 1.1128e-05, 2764, 5352, 492
0.000945603, 0.000350053, 0.000594551, 1.9243e-05, 2691, 5278, 861
0.000926259, 0.000635418, 0.000289222, 1.3219e-05, 2712, 5226, 615
0.000993993, 0.000348984, 0.000644001, 1.4807e-05, 2698, 5140, 738
0.00102455, 0.000660327, 0.000362992, 2.4879e-05, 2678, 5085, 1107
0.00125261, 0.000558431, 0.000692921, 3.545e-05, 2689, 5120, 1107
0.00109132, 0.000713504, 0.000376731, 3.2042e-05, 2622, 4961, 1722
0.00102515, 0.000646239, 0.000377321, 3.2274e-05, 2729, 5158, 1599
0.000954526, 0.000617213, 0.000336293, 1.8976e-05, 2671, 4923, 984
0.00135083, 0.000457444, 0.000891148, 4.8479e-05, 2722, 5103, 984
0.00104926, 0.000684889, 0.000363024, 1.8791e-05, 2687, 5052, 861
0.00125446, 0.000750673, 0.000502507, 3.508e-06, 2710, 5340, 123
0.00116324, 0.000679372, 0.000482678, 1.4322e-05, 2759, 5527, 738
0.00131231, 0.000734232, 0.000576897, 3.0243e-05, 2835, 5629, 1230
0.00222769, 0.00124426, 0.000981608, 4.7793e-05, 2821, 5574, 1353
0.00113211, 0.000643451, 0.000487816, 1.0453e-05, 2921, 5817, 492
0.00108812, 0.000390208, 0.000697012, 1.1164e-05, 2923, 5711, 492
0.0011523, 0.000386661, 0.000764595, 4.053e-05, 2891, 5703, 2091
0.00105008, 0.000378225, 0.000670727, 2.4948e-05, 2860, 5583, 1230
0.00105126, 0.00037034, 0.000679982, 1.3763e-05, 2814, 5475, 738
0.00121795, 0.000388404, 0.000828134, 3.2599e-05, 2800, 5183, 1722
0.00106962, 0.000355464, 0.000712738, 3.3001e-05, 2775, 5216, 1599
0.0010398, 0.000357933, 0.000680748, 2.0645e-05, 2768, 5057, 984
0.00134197, 0.00050331, 0.000836191, 3.485e-05, 2769, 5039, 861
0.00143715, 0.000450606, 0.000983928, 8.4556e-05, 2917, 5201, 2337
0.00108258, 0.000381726, 0.000699862, 3.0758e-05, 2915, 5334, 1476
0.00120834, 0.000697042, 0.000510539, 2.1034e-05, 2928, 5346, 1107
0.00125143, 0.000720666, 0.000529332, 2.1542e-05, 2924, 5373, 861
0.00122597, 0.00067207, 0.000552825, 3.677e-05, 3001, 5496, 1968
0.00126108, 0.000665002, 0.000594473, 3.7928e-05, 3056, 5720, 2337
